iter	Passed	Remaining
766	2027	615
767	2029	612
768	2030	609
769	2030	606
770	2031	603
771	2032	600
772	2033	597
773	2034	593
774	2034	590
775	2035	587
776	2040	585
777	2043	582
778	2043	579
779	2044	576
780	2045	573
781	2046	570
782	2047	567
783	2047	564
784	2048	561
785	2049	557
786	2050	554
787	2050	551
788	2053	549
789	2057	546
790	2058	543
791	2059	540
792	2060	537
793	2061	534
794	2062	531
795	2063	528
796	2064	525
797	2065	522
798	2068	520
799	2072	518
800	2073	515
801	2074	512
802	2075	509
803	2076	506
804	2077	503
805	2078	500
806	2079	497
807	2079	494
808	2080	491
809	2083	488
810	2087	486
811	2088	483
812	2089	480
813	2089	477
814	2090	474
815	2091	471
816	2092	468
817	2092	465
818	2093	462
819	2094	459
820	2095	456
821	2097	454
822	2100	451
823	2101	448
824	2102	445
825	2102	442
826	2103	440
827	2104	437
828	2105	434
829	2105	431
830	2106	428
831	2107	425
832	2108	422
833	2108	419
834	2109	416
835	2110	414
836	2112	411
837	2115	408
838	2116	406
839	2117	403
840	2117	400
841	2118	397
842	2119	394
843	2120	391
844	2120	389
845	2121	386
846	2122	383
847	2123	380
848	2124	377
849	2124	374
850	2125	372
851	2127	369
852	2130	367
853	2131	364
854	2132	361
855	2133	358
856	2133	356
857	2134	353
858	2135	350
859	2136	347
860	2136	344
861	2137	342
862	2138	339
863	2139	336
864	2139	333
865	2140	331
866	2142	328
867	2144	326
868	2145	323
869	2146	320
870	2147	318
871	2148	315
872	2148	312
873	2149	309
874	2150	307
875	2151	304
876	2152	301
877	2152	299
878	2153	296
879	2154	293
880	2155	291
881	2157	288
882	2159	286
883	2160	283
884	2161	280
885	2162	278
886	2162	275
887	2163	272
888	2164	270
889	2165	267
890	2166	264
891	2166	262
892	2167	259
893	2168	257
894	2169	254
895	2169	251
896	2170	249
897	2172	246
898	2174	244
899	2175	241
900	2176	239
901	2176	236
902	2178	233
903	2179	231
904	2180	228
905	2182	226
906	2196	225
907	2200	222
908	2205	220
909	2206	218
910	2207	215
911	2245	216
912	2256	215
913	2257	212
914	2258	209
915	2275	208
916	2278	206
917	2279	203
918	2280	200
919	2286	198
920	2287	196
921	2289	193
922	2290	191
923	2291	188
924	2291	185
925	2292	183
926	2301	181
927	2302	178
928	2317	177
929	2318	174
930	2320	171
931	2322	169
932	2323	166
933	2324	164
934	2331	162
935	2332	159
936	2333	156
937	2334	154
938	2335	151
939	2336	149
940	2337	146
941	2338	143
942	2339	141
943	2340	138
944	2341	136
945	2346	133
946	2347	131
947	2348	128
948	2350	126
949	2351	123
950	2352	121
951	2353	118
952	2363	116
953	2372	114
954	2374	111
955	2376	109
956	2377	106
957	2378	104
958	2379	101
959	2380	99
960	2381	96
961	2382	94
962	2384	91
963	2385	89
964	2386	86
965	2387	84
966	2389	81
967	2390	79
968	2391	76
969	2392	73
970	2393	71
971	2393	68
972	2394	66
973	2395	63
974	2396	61
975	2396	58
976	2397	56
977	2398	53
978	2399	51
979	2399	48
980	2400	46
981	2401	44
982	2402	41
983	2403	39
984	2405	36
985	2406	34
986	2406	31
987	2407	29
988	2408	26
989	2409	24
990	2409	21
991	2410	19
992	2411	16
993	2412	14
994	2413	12
995	2413	9
996	2414	7
997	2415	4
998	2416	2
999	2416	0
